name,CMC,Type,Color,Set,Collector Number,Rarity,Color Category,status,Finish,board,maybeboard,image URL,image Back URL,tags,Notes,MTGO ID,Custom,Voucher
"Icatian Javelineers",1,"Creature - Human Soldier",W,"tsb","10",special,null,Not Owned,Non-foil,mainboard,false,,,"","",26041,false,false
"Shade of Trokair",4,"Creature - Shade",W,"plc","18",common,null,Not Owned,Non-foil,mainboard,false,,,"","",26415,false,false
"Amrou Scout",2,"Creature - Kithkin Rebel Scout",W,"tsp","1",common,null,Not Owned,Non-foil,mainboard,false,,,"","",25685,false,false
"Benalish Cavalry",2,"Creature - Human Knight",W,"tsp","4",common,null,Not Owned,Non-foil,mainboard,false,,,"","",25873,false,false
"Knight of the Holy Nimbus",2,"Creature - Human Rebel Knight",W,"tsp","26",uncommon,null,Not Owned,Non-foil,mainboard,false,,,"","",25833,false,false
"Mycologist",2,"Creature - Human Druid",W,"plc","27",uncommon,null,Not Owned,Non-foil,mainboard,false,,,"","",26315,false,false
"Serra Avenger",2,"Creature - Angel",W,"tsp","40",rare,null,Not Owned,Non-foil,mainboard,false,,,"","",25623,false,false
"Whitemane Lion",2,"Creature - Cat",W,"plc","22",common,null,Not Owned,Non-foil,mainboard,false,,,"","",26307,false,false
"Amrou Seekers",3,"Creature - Kithkin Rebel",W,"tsp","2",common,null,Not Owned,Non-foil,mainboard,false,,,"","",25615,false,false
"Aven Riftwatcher",3,"Creature - Bird Rebel Soldier",W,"plc","1",common,null,Not Owned,Non-foil,mainboard,false,,,"","",26207,false,false
"Defiant Vanguard",3,"Creature - Human Rebel",W,"tsb","5",special,null,Not Owned,Non-foil,mainboard,false,,,"","",26135,false,false
"Riftmarked Knight",3,"Creature - Human Rebel Knight",W,"plc","14",uncommon,null,Not Owned,Non-foil,mainboard,false,,,"","",26433,false,false
"Saltfield Recluse",3,"Creature - Human Rebel Cleric",W,"plc","16",common,null,Not Owned,Non-foil,mainboard,false,,,"","",26539,false,false
"Stonecloaker",3,"Creature - Gargoyle",W,"plc","19",uncommon,null,Not Owned,Non-foil,mainboard,false,,,"","",26305,false,false
"Calciderm",4,"Creature - Beast",W,"plc","23",uncommon,null,Not Owned,Non-foil,mainboard,false,,,"","",26247,false,false
"Cavalry Master",4,"Creature - Human Knight",W,"tsp","6",uncommon,null,Not Owned,Non-foil,mainboard,false,,,"","",25907,false,false
